index,name,bf_name,similarity
383,h watson,watson,85.71428571428572
386,s zheng,a zheng,85.71428571428572
386,s zheng,sh zeng,85.71428571428572
386,s zheng,s zhong,85.71428571428572
386,s zheng,zheng,83.33333333333334
387,m linette,linette,87.5
392,katerina siniakova,katerina sinaikova,94.44444444444444
392,k siniakova,shinikova,80.0
393,a dulgheru,al dulgheru,95.23809523809523
395,e sema,sema,80.0
397,yingying duan,ying ying duan,96.2962962962963
397,y duan,yy duan,92.3076923076923
397,y duan,y y duan,85.71428571428572
403,a rus,arus,88.88888888888889
405,ze zhang,k zhang,80.0
405,ze zhang,e huang,80.0
414,andrea gamiz,andrea agazzi,80.0
416,c simmonds,ph simmonds,85.71428571428572
417,anastasiya vasylyeva,anastasiya soboleva,82.05128205128204
417,anastasiya vasylyeva,anastasiya sobolieva,80.0
418,jovana jovic,jovana jaksic,80.0
423,a mitu,c a mitu,85.71428571428572
423,a mitu,c mitu,83.33333333333334
434,thanasi kokkinakis,thanasi kokkonakis,94.44444444444444
437,r haase,r takase,80.0
437,robin haase,robin hasse,90.9090909090909
440,a murray,s murray,87.5
440,a murray,murray,85.71428571428572
441,jo wilfried tsonga,jo wilifried tsonga,97.2972972972973
441,jo wilfried tsonga,jo wilfred tsonga,97.14285714285714
441,wilfried tsonga jo,jo wilifried tsonga,81.08108108108108
441,wilfried tsonga jo,jo wilfred tsonga,80.0
442,teimuraz gabashvili,teymuraz gabashvili,94.73684210526316
442,teimuraz gabashvili,teymaraz gabashvili,89.47368421052632
448,jordan thompson,d thompson,80.0
450,alejandro gonzalez,fernando gonzalez,80.0
452,pablo carreno busta,pablo carrena busta,94.73684210526316
452,p carreno busta,pablo carrena busta,82.35294117647058
455,leonardo mayer,leonardon mayer,96.55172413793103
456,carina witthoft,carina witthoeft,96.7741935483871
462,mirjana lucic baroni,mirjana l baroni,88.88888888888889
464,luksika kumkhum,luksika khumkhum,96.7741935483871
465,n kichenok,nadiya kichenok,80.0
465,nadiia kichenok,nadiya kichenok,93.33333333333333
470,a cornet,a cornut,87.5
470,a cornet,cornet,85.71428571428572
474,l dominguez lino,dominguez lino,93.33333333333333
477,su wei hsieh,su wei heieh,91.66666666666666
477,su wei hsieh,s w hsieh,85.71428571428572
478,antso rakotondramanga,tiantsoa rakotomanga,82.92682926829268
487,jacq gregoire,j gregoire,86.95652173913044
492,a muller,al mueller,88.88888888888889
492,a muller,muller,85.71428571428572
496,irina camelia begu,irinia camelia begu,97.2972972972973
496,irina camelia begu,irina camella begu,94.44444444444444
496,irina camelia begu,irina cameila begu,94.44444444444444
499,donna vekic,dona vekic,95.23809523809523
